-0.1,-4.85E-04
-0.2,-0.00101
-0.3,-0.00162
-0.4,-0.00235
-0.5,-0.00321
-0.6,-0.00418
-0.7,-0.00525
-0.8,-0.00639
-0.9,-0.00754
-1,-0.00873
-1.1,-0.00993
-1.2,-0.01111
-1.3,-0.01141
-1.4,-0.01022
-1.5,-0.01038
-1.6,-0.01073
-1.7,-0.01128
-1.8,-0.01289
-1.9,-0.01061
-2,-0.01252
-2.1,-0.01164
-2.2,-0.01245
-2.3,-0.01393
-2.4,-0.01274
-2.5,-0.01201
-2.6,-0.01377
-2.7,-0.01568
-2.8,-0.01453
-2.9,-0.01387
-3,-0.01595
-3.1,-0.01613
-3.2,-0.01496
-3.3,-0.01431
-3.4,-0.01374
-3.5,-0.01388
-3.6,-0.01433
-3.7,-0.01392
-3.8,-0.01344
-3.9,-0.00707
-4,-0.00554
-4.1,-4.65E-03
-4.2,-1.84E-04
-4.3,-5.16E-04
-4.4,-8.75E-05
-4.5,-9.21E-05
-4.6,-1.01E-04
-4.7,-1.10E-04
-4.8,-1.22E-04
-4.9,-1.39E-04
-5,-1.08E-03
-5,-4.42E-04
-4.9,-8.31E-05
-4.8,-7.33E-05
-4.7,-6.65E-05
-4.6,-1.00E-04
-4.5,-5.24E-05
-4.4,-4.81E-05
-4.3,-4.33E-05
-4.2,-3.96E-05
-4.1,-4.03E-05
-4,-3.63E-05
-3.9,-2.68E-05
-3.8,-2.42E-05
-3.7,-2.23E-05
-3.6,-2.02E-05
-3.5,-1.82E-05
-3.4,-1.63E-05
-3.3,-1.46E-05
-3.2,-1.31E-05
-3.1,-1.18E-05
-3,-1.05E-05
-2.9,-9.33E-06
-2.8,-8.22E-06
-2.7,-7.31E-06
-2.6,-6.44E-06
-2.5,-5.65E-06
-2.4,-4.94E-06
-2.3,-4.31E-06
-2.2,-3.70E-06
-2.1,-3.22E-06
-2,-2.79E-06
-1.9,-2.38E-06
-1.8,-2.02E-06
-1.7,-1.71E-06
-1.6,-1.44E-06
-1.5,-1.21E-06
-1.4,-9.98E-07
-1.3,-8.15E-07
-1.2,-6.59E-07
-1.1,-5.23E-07
-1,-4.11E-07
-0.9,-3.21E-07
-0.8,-2.48E-07
-0.7,-1.83E-07
-0.6,-1.32E-07
-0.5,-9.39E-08
-0.4,-6.27E-08
-0.3,-3.83E-08
-0.2,-2.11E-08
